City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,ghanzi,-21.5667,21.7833,294.01,77,93,2.89,BW,1675744706
146,guntakal,15.1667,77.3833,301.06,40,53,3.59,IN,1675744706
147,hobart,-42.8794,147.3294,295.96,48,0,9.77,AU,1675744445
148,marquette,46.5333,-87.6335,270.25,89,99,7.88,US,1675744707
149,rawson,-43.3002,-65.1023,293.63,61,61,4.23,AR,1675744708
150,mahebourg,-20.4081,57.7,301.07,78,75,4.12,MU,1675744708
151,sarh,9.1429,18.3923,292.1,37,0,1.54,TD,1675744709
152,port macquarie,-31.4333,152.9167,299.76,62,13,5.43,AU,1675744704
153,chapadinha,-3.7417,-43.3603,295.02,99,100,0.8,BR,1675744709
154,tuktoyaktuk,69.4541,-133.0374,232.15,66,100,1.54,CA,1675744710
155,kasangulu,-4.5911,15.1708,294.67,96,31,1.36,CD,1675744710
156,nikolskoye,59.7035,30.7861,270.09,98,92,1.48,RU,1675744711
157,mujiayingzi,42.1167,118.7833,271.58,35,91,1.61,CN,1675744711
158,jiuquan,39.7432,98.5174,274.08,36,10,2.25,CN,1675744712
159,shangzhi,45.2167,127.9667,265.2,75,8,4.51,CN,1675744712
160,severnoye,56.3491,78.3619,262.62,93,100,1.86,RU,1675744712
161,maniitsoq,65.4167,-52.9,257.81,88,100,1.61,GL,1675744713
162,lompoc,34.6391,-120.4579,284.55,63,0,8.75,US,1675744713
163,matadi,-5.8167,13.45,296.86,97,95,0.59,CD,1675744714
164,dordrecht,51.81,4.6736,274.8,94,5,0.89,NL,1675744715
165,lakatoro,-16.0999,167.4164,299.67,80,100,1.8,VU,1675744715
166,thinadhoo,0.5333,72.9333,300.51,70,99,4.22,MV,1675744715
167,bengkulu,-3.8004,102.2655,301.52,66,91,4.73,ID,1675744716
168,porto santo,33.072,-16.3415,287.36,67,75,7.2,PT,1675744716
169,concepcion,-36.827,-73.0498,289.04,77,0,2.06,CL,1675744575
170,katsuura,35.1333,140.3,287.31,55,69,3.08,JP,1675744717
171,dikson,73.5069,80.5464,239.67,99,62,1.91,RU,1675744717
172,ust-tsilma,65.441,52.1498,252.2,99,92,2.23,RU,1675744717
173,norman wells,65.282,-126.8329,249.17,77,100,2.57,CA,1675744718
174,bonnyville,54.2668,-110.735,274.77,88,98,3.65,CA,1675744719
175,sitka,57.0531,-135.33,275.09,80,40,3.09,US,1675744719
